ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_54117,Q1463668,Ludwig Rosenberg,Ludwig Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54118,Q1463668,Ludwig Rosenberg,Ludwig Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54119,Q1463668,Ludwig Rosenberg,Ludwig Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54124,Q451905,Marianne Rosenberg,Marianne Rosenberg,identisch,1955-03-10,-,nein,Mensch
1931_54124,Q1896883,Marianne Rosenberg,Marianne Rosenberg/Diskografie,,,
1931_54134,Q1904837,Martin Rosenberg,Martin Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54135,Q1904837,Martin Rosenberg,Martin Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54136,Q1904837,Martin Rosenberg,Martin Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54161,Q1498894,Michael Rosenberg,Michael Rosenberger,unklar,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54161,Q1929064,Michael Rosenberg,Michael Rosenberger (Theologe),unklar,-,-,unbekannt,Mensch
1931_54161,Q1929066,Michael Rosenberg,Michael Rosenberger (Klavierbauer),unklar,-,-,unbekannt,Mensch
1931_54163,Q1948045,Moritz Rosenberg,Moritz Rott,unklar,1796-09-17,1867-03-11,nein,Mensch
1931_54164,Q1948045,Moritz Rosenberg,Moritz Rott,unklar,1796-09-17,1867-03-11,nein,Mensch
1931_54165,Q1948045,Moritz Rosenberg,Moritz Rott,unklar,1796-09-17,1867-03-11,nein,Mensch
1931_54166,Q1948045,Moritz Rosenberg,Moritz Rott,unklar,1796-09-17,1867-03-11,nein,Mensch
1931_54168,Q1966628,Nathan Rosenberg,Nathan Rosenberg,identisch,1927-11-22,-,nein,Mensch
1931_54169,Q1966628,Nathan Rosenberg,Nathan Rosenberg,identisch,1927-11-22,-,nein,Mensch
1931_54175,Q1238090,Otto Rosenberg,Otto Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54176,Q1238090,Otto Rosenberg,Otto Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54177,Q560643,Paul Rosenberg,Paul Rosenberg,identisch,1881-12-29,1959-06-29,plausibel,Mensch
1931_54177,Q353593,Paul Rosenberg,Paul Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54177,Q2062005,Paul Rosenberg,Paul Rosenberger,unklar,-,-,unbekannt,Mensch
1931_54178,Q560643,Paul Rosenberg,Paul Rosenberg,identisch,1881-12-29,1959-06-29,plausibel,Mensch
1931_54178,Q353593,Paul Rosenberg,Paul Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54178,Q2062005,Paul Rosenberg,Paul Rosenberger,unklar,-,-,unbekannt,Mensch
1931_54179,Q560643,Paul Rosenberg,Paul Rosenberg,identisch,1881-12-29,1959-06-29,plausibel,Mensch
1931_54179,Q353593,Paul Rosenberg,Paul Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54179,Q2062005,Paul Rosenberg,Paul Rosenberger,unklar,-,-,unbekannt,Mensch
1931_54180,Q560643,Paul Rosenberg,Paul Rosenberg,identisch,1881-12-29,1959-06-29,plausibel,Mensch
1931_54180,Q353593,Paul Rosenberg,Paul Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54180,Q2062005,Paul Rosenberg,Paul Rosenberger,unklar,-,-,unbekannt,Mensch
1931_54181,Q560643,Paul Rosenberg,Paul Rosenberg,identisch,1881-12-29,1959-06-29,plausibel,Mensch
1931_54181,Q353593,Paul Rosenberg,Paul Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54181,Q2062005,Paul Rosenberg,Paul Rosenberger,unklar,-,-,unbekannt,Mensch
1931_54186,Q16888079,Raphael Rosenberg,Raphael Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54192,Q668185,Robert Rosenberg,Robert Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54192,Q2158649,Robert Rosenberg,Robert Rosenberg,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_54192,Q2158657,Robert Rosenberg,Robert Rosenberg (Schauspieler),unklar,-,-,unbekannt,Mensch
1931_54224,Q2546005,Walter Rosenberg,Walter Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54225,Q2546005,Walter Rosenberg,Walter Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54226,Q2546005,Walter Rosenberg,Walter Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54227,Q2546005,Walter Rosenberg,Walter Rosenberg,identisch,-,-,unbekannt,Mensch
1931_54262,Q1691575,Joseph Rosenblatt,Joe Rosenblatt,unklar,1933-12-26,-,nein,Mensch
1931_54265,Q14754904,Leo Rosenblatt,Levy Rosenblatt,unklar,-,-,unbekannt,Mensch
1931_54266,Q14754904,Leo Rosenblatt,Levy Rosenblatt,unklar,-,-,unbekannt,Mensch
1931_54267,Q14754904,Leo Rosenblatt,Levy Rosenblatt,unklar,-,-,unbekannt,Mensch
1931_54284,Q1389085,Felix Rosenblüth,Pinchas Rosen,unklar,1887-05-01,1978-05-03,plausibel,Mensch
1931_54384,Q1372841,Eugen Rosenfeld,Eugen Rosenfeld,identisch,-,-,unbekannt,Mensch
1931_54385,Q1372841,Eugen Rosenfeld,Eugen Rosenfeld,identisch,-,-,unbekannt,Mensch
1931_54387,Q46874,Fanny Rosenfeld,Fanny Rosenfeld,identisch,1904-12-28,1969-11-14,plausibel,Mensch
1931_54399,Q67454,Herbert Rosenfeld,Herbert Rosenfeld,identisch,1910-01-01,1986-01-01,plausibel,Mensch
1931_54400,Q67454,Herbert Rosenfeld,Herbert Rosenfeld,identisch,1910-01-01,1986-01-01,plausibel,Mensch
1931_54474,Q711214,Arthur Rosenheim,Arthur Rosenheim,identisch,-,-,unbekannt,Mensch
1931_54501,Q62315,Karl Rosenkranz,Karl Rosenkranz,identisch,1805-04-23,1879-07-14,nein,Mensch
1931_54525,Q1505780,Georg Rosenow,Georg Rosenow,identisch,-,-,unbekannt,Mensch
1931_54559,Q119281,Paul Rosenstein,Paul Rosenstein,identisch,1875-07-26,1964-09-21,plausibel,Mensch
1931_54559,Q78832,Paul Rosenstein,Paul Rosenstein-Rodan,unklar,1902-01-01,1985-04-28,plausibel,Mensch
1931_54587,Q214404,Josef Rosenstock,Joseph Rosenstock,unklar,1895-01-27,1985-10-17,plausibel,Mensch
1931_54612,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54613,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54614,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
1931_54615,Q364024,Adolf Rosenthal,Adolf Rosenthal,identisch,1838-04-28,1866-09-23,nein,Mensch
